Unit_Price,Total_Price,Discount,Quantity,Customer_Type,Cluster
1.31,26.13,0.05,21.0,B2B,3
2.28,9.119999999999997,0.0,4.0,B2C,0
1.64,9.84,0.0,6.0,B2C,0
0.45999999999999996,0.46000000000000085,0.0,1.0,B2C,0
0.99,47.97,0.05,51.0,B2B,3
0.5800000000000001,5.799999999999997,0.0,10.0,B2C,0
3.12,24.96,0.0,8.0,B2C,2
0.8,25.2,0.1,35.0,B2B,3
4.19,4.189999999999998,0.0,1.0,B2C,2
4.88,39.04,0.0,8.0,B2C,2
1.12,15.68,0.0,14.0,B2C,0
0.5800000000000001,7.539999999999999,0.0,13.0,B2C,0
0.6600000000000001,6.899999999999999,0.05,11.0,B2B,3
1.92,21.12,0.0,11.0,B2C,0
1.01,12.119999999999997,0.0,12.0,B2C,0
0.93,9.3,0.0,10.0,B2C,0
1.31,7.859999999999999,0.0,6.0,B2C,0
3.43,44.59,0.0,13.0,B2C,2
1.13,101.70000000000002,0.1,100.0,B2B,1
3.31,6.619999999999997,0.0,2.0,B2C,2
1.71,22.23,0.0,13.0,B2C,0
3.46,31.14,0.0,9.0,B2C,2
1.23,1.2299999999999969,0.0,1.0,B2C,0
0.45999999999999996,2.299999999999997,0.0,5.0,B2C,0
2.33,106.25,0.05,48.0,B2B,1
2.38,135.66,0.05,60.0,B2B,1
1.41,11.280000000000001,0.0,8.0,B2C,0
0.56,8.509999999999998,0.05,16.0,B2B,3
1.8,19.8,0.0,11.0,B2C,0
1.79,47.61,0.05,28.0,B2B,3
2.09,152.36,0.1,81.0,B2B,1
1.59,12.719999999999999,0.0,8.0,B2C,0
0.56,1.6799999999999997,0.0,3.0,B2C,0
1.61,55.06,0.1,38.0,B2B,3
0.5800000000000001,4.640000000000001,0.0,8.0,B2C,0
0.86,54.18,0.1,70.0,B2B,1
0.5699999999999998,3.990000000000002,0.0,7.0,B2C,0
1.31,14.41,0.0,11.0,B2C,0
2.07,63.34,0.1,34.0,B2B,3
1.2,15.600000000000001,0.0,13.0,B2C,0
1.26,18.9,0.0,15.0,B2C,0
1.27,48.01,0.1,42.0,B2B,3
0.83,7.100000000000001,0.05,9.0,B2B,3
1.53,9.18,0.0,6.0,B2C,0
0.5899999999999999,5.899999999999999,0.0,10.0,B2C,0
2.05,26.65,0.0,13.0,B2C,0
2.19,6.57,0.0,3.0,B2C,0
1.23,8.61,0.0,7.0,B2C,0
2.38,30.94,0.0,13.0,B2C,0
1.2,104.76,0.1,97.0,B2B,1
1.99,11.939999999999998,0.0,6.0,B2C,0
5.03,75.45,0.0,15.0,B2C,2
1.38,16.56,0.0,12.0,B2C,0
1.39,102.58,0.1,82.0,B2B,1
0.6200000000000001,0.6199999999999974,0.0,1.0,B2C,0
0.98,77.62,0.1,88.0,B2B,1
0.88,35.9,0.15,48.0,B2B,3
1.35,107.86,0.15,94.0,B2B,1
1.05,11.55,0.0,11.0,B2C,0
2.35,14.100000000000001,0.0,6.0,B2C,0
1.1,65.34,0.1,66.0,B2B,1
3.21,28.89,0.0,9.0,B2C,2
0.53,4.240000000000002,0.0,8.0,B2C,0
1.19,55.39,0.05,49.0,B2B,3
1.24,8.68,0.0,7.0,B2C,0
1.58,70.55,0.05,47.0,B2B,3
1.53,4.590000000000003,0.0,3.0,B2C,0
3.67,51.38,0.0,14.0,B2C,2
1.8,19.8,0.0,11.0,B2C,0
1.59,19.08,0.0,12.0,B2C,0
2.35,120.56,0.05,54.0,B2B,1
1.05,13.649999999999999,0.0,13.0,B2C,0
1.59,7.949999999999999,0.0,5.0,B2C,0
1.87,152.59,0.15,96.0,B2B,1
2.36,96.41,0.05,43.0,B2B,1
3.56,42.72,0.0,12.0,B2C,2
1.09,8.719999999999999,0.0,8.0,B2C,0
4.88,58.56,0.0,12.0,B2C,2
1.07,4.280000000000001,0.0,4.0,B2C,0
1.64,9.84,0.0,6.0,B2C,0
2.75,133.65,0.1,54.0,B2B,1
0.47,0.9399999999999977,0.0,2.0,B2C,0
3.23,48.45,0.0,15.0,B2C,2
0.99,1.9799999999999969,0.0,2.0,B2C,0
1.58,140.78,0.1,99.0,B2B,1
0.79,58.3,0.1,82.0,B2B,1
1.98,67.72,0.05,36.0,B2B,3
2.38,142.44,0.05,63.0,B2B,1
1.02,11.219999999999999,0.0,11.0,B2C,0
2.19,17.52,0.0,8.0,B2C,0
0.53,5.829999999999998,0.0,11.0,B2C,0
4.48,31.36,0.0,7.0,B2C,2
1.59,9.54,0.0,6.0,B2C,0
0.48,18.7,0.05,41.0,B2B,3
4.19,62.85,0.0,15.0,B2C,2
0.56,2.240000000000002,0.0,4.0,B2C,0
1.01,8.079999999999998,0.0,8.0,B2C,0
1.05,5.25,0.0,5.0,B2C,0
2.12,6.359999999999999,0.0,3.0,B2C,0
0.96,4.799999999999997,0.0,5.0,B2C,0
1.21,10.89,0.0,9.0,B2C,0
1.69,1.6899999999999977,0.0,1.0,B2C,0
3.46,6.920000000000002,0.0,2.0,B2C,2
0.89,8.899999999999999,0.0,10.0,B2C,0
2.19,2.1899999999999977,0.0,1.0,B2C,0
1.8,12.600000000000001,0.0,7.0,B2C,0
0.86,8.600000000000001,0.0,10.0,B2C,0
1.89,166.7,0.1,98.0,B2B,1
0.55,7.699999999999999,0.0,14.0,B2C,0
1.13,10.73,0.05,10.0,B2B,3
2.12,27.559999999999995,0.0,13.0,B2C,0
1.47,83.35,0.1,63.0,B2B,1
1.41,19.74,0.0,14.0,B2C,0
2.18,127.53,0.1,65.0,B2B,1
1.08,86.51,0.1,89.0,B2B,1
2.34,30.42,0.0,13.0,B2C,0
0.4099999999999999,5.060000000000002,0.05,13.0,B2B,3
0.96,11.52,0.0,12.0,B2C,0
1.37,15.07,0.0,11.0,B2C,0
1.61,4.829999999999998,0.0,3.0,B2C,0
3.46,13.84,0.0,4.0,B2C,2
1.1,5.5,0.0,5.0,B2C,0
1.91,46.41,0.1,27.0,B2B,3
0.5800000000000001,3.479999999999997,0.0,6.0,B2C,0
1.27,3.8100000000000023,0.0,3.0,B2C,0
2.27,98.06,0.1,48.0,B2B,1
1.69,8.45,0.0,5.0,B2C,0
0.3999999999999999,9.119999999999997,0.05,24.0,B2B,3
2.19,47.85,0.05,23.0,B2B,3
2.13,12.780000000000001,0.0,6.0,B2C,0
1.68,18.48,0.0,11.0,B2C,0
3.31,19.86,0.0,6.0,B2C,2
2.16,125.17,0.05,61.0,B2B,1
2.93,23.44,0.0,8.0,B2C,2
3.57,151.01,0.1,47.0,B2B,1
1.21,18.39,0.05,16.0,B2B,3
3.21,28.89,0.0,9.0,B2C,2
3.21,19.26,0.0,6.0,B2C,2
1.99,21.89,0.0,11.0,B2C,0
4.35,17.4,0.0,4.0,B2C,2
3.02,68.86,0.05,24.0,B2B,2
1.86,47.71,0.05,27.0,B2B,3
2.05,14.350000000000001,0.0,7.0,B2C,0
4.88,73.2,0.0,15.0,B2C,2
3.11,3.1099999999999994,0.0,1.0,B2C,2
3.31,36.41,0.0,11.0,B2C,2
0.6099999999999999,5.490000000000002,0.0,9.0,B2C,0
0.96,10.560000000000002,0.0,11.0,B2C,0
1.71,13.68,0.0,8.0,B2C,0
3.56,7.120000000000001,0.0,2.0,B2C,2
1.53,1.5300000000000011,0.0,1.0,B2C,0
1.94,29.1,0.0,15.0,B2C,0
0.56,5.600000000000001,0.0,10.0,B2C,0
0.56,2.240000000000002,0.0,4.0,B2C,0
1.8,12.600000000000001,0.0,7.0,B2C,0
2.93,38.09,0.0,13.0,B2C,2
2.16,77.98,0.05,38.0,B2B,1
2.13,12.780000000000001,0.0,6.0,B2C,0
2.28,13.68,0.0,6.0,B2C,0
2.27,13.619999999999997,0.0,6.0,B2C,0
1.05,5.25,0.0,5.0,B2C,0
1.61,9.66,0.0,6.0,B2C,0
1.23,3.6899999999999977,0.0,3.0,B2C,0
2.05,30.75,0.0,15.0,B2C,0
1.69,100.39,0.1,66.0,B2B,1
1.99,13.93,0.0,7.0,B2C,0
3.56,32.04,0.0,9.0,B2C,2
0.96,0.9600000000000009,0.0,1.0,B2C,0
3.23,9.689999999999998,0.0,3.0,B2C,2
1.26,61.05,0.05,51.0,B2B,3
1.31,6.549999999999997,0.0,5.0,B2C,0
3.21,12.84,0.0,4.0,B2C,2
2.68,57.89,0.1,24.0,B2B,3
1.07,90.95,0.15,100.0,B2B,1
1.63,4.890000000000001,0.0,3.0,B2C,0
0.55,4.950000000000003,0.0,9.0,B2C,0
5.87,167.3,0.05,30.0,B2B,2
1.01,24.04,0.15,28.0,B2B,3
3.02,36.24,0.0,12.0,B2C,2
0.8,23.56,0.05,31.0,B2B,3
0.96,11.52,0.0,12.0,B2C,0
0.93,13.02,0.0,14.0,B2C,0
2.03,131.14,0.05,68.0,B2B,1
0.53,3.710000000000001,0.0,7.0,B2C,0
1.19,3.5700000000000003,0.0,3.0,B2C,0
1.71,3.4200000000000017,0.0,2.0,B2C,0
1.22,80.15,0.1,73.0,B2B,1
1.75,5.25,0.0,3.0,B2C,0
0.5800000000000001,1.1599999999999966,0.0,2.0,B2C,0
0.91,14.7,0.05,17.0,B2B,3
1.86,24.18,0.0,13.0,B2C,0
2.06,37.18,0.05,19.0,B2B,3
0.99,5.939999999999998,0.0,6.0,B2C,0
2.27,34.05,0.0,15.0,B2C,0
3.23,9.689999999999998,0.0,3.0,B2C,2
1.58,17.38,0.0,11.0,B2C,0
1.09,6.539999999999999,0.0,6.0,B2C,0
3.23,19.38,0.0,6.0,B2C,2
1.38,1.3800000000000026,0.0,1.0,B2C,0
0.93,4.649999999999999,0.0,5.0,B2C,0
0.52,22.23,0.05,45.0,B2B,3
1.64,1.6400000000000006,0.0,1.0,B2C,0
3.43,17.15,0.0,5.0,B2C,2
1.82,124.49,0.1,76.0,B2B,1
1.15,18.57,0.05,17.0,B2B,3
1.07,1.0700000000000003,0.0,1.0,B2C,0
1.03,11.740000000000002,0.05,12.0,B2B,3
1.42,2.8400000000000034,0.0,2.0,B2C,0
1.07,16.05,0.0,15.0,B2C,0
1.04,12.48,0.0,12.0,B2C,0
1.19,71.76,0.1,67.0,B2B,1
2.76,20.98,0.05,8.0,B2B,2
3.33,19.98,0.0,6.0,B2C,2
0.56,6.719999999999999,0.0,12.0,B2C,0
0.96,5.759999999999998,0.0,6.0,B2C,0
1.09,15.259999999999998,0.0,14.0,B2C,0
3.21,12.84,0.0,4.0,B2C,2
0.96,11.52,0.0,12.0,B2C,0
1.71,136.46,0.05,84.0,B2B,1
1.17,30.54,0.1,29.0,B2B,3
0.45999999999999996,6.899999999999999,0.0,15.0,B2C,0
0.94,38.4,0.05,43.0,B2B,3
1.07,6.420000000000002,0.0,6.0,B2C,0
2.4,92.88,0.1,43.0,B2B,1
1.06,83.95,0.1,88.0,B2B,1
1.49,1.490000000000002,0.0,1.0,B2C,0
2.26,24.86,0.0,11.0,B2C,0
0.96,5.759999999999998,0.0,6.0,B2C,0
1.42,5.68,0.0,4.0,B2C,0
0.6299999999999999,6.93,0.0,11.0,B2C,0
0.6299999999999999,1.8900000000000006,0.0,3.0,B2C,0
4.19,41.9,0.0,10.0,B2C,2
3.02,30.2,0.0,10.0,B2C,2
0.51,3.8800000000000026,0.05,8.0,B2B,3
1.94,27.16,0.0,14.0,B2C,0
1.55,116.33,0.05,79.0,B2B,1
0.56,7.84,0.0,14.0,B2C,0
2.27,18.16,0.0,8.0,B2C,0
0.3799999999999999,24.91,0.05,69.0,B2B,3
0.5800000000000001,7.539999999999999,0.0,13.0,B2C,0
0.56,7.280000000000001,0.0,13.0,B2C,0
1.02,5.100000000000001,0.0,5.0,B2C,0
1.11,69.93,0.1,70.0,B2B,1
4.74,66.36,0.0,14.0,B2C,2
1.05,4.990000000000002,0.05,5.0,B2B,3
1.35,76.95,0.05,60.0,B2B,1
2.43,73.87,0.05,32.0,B2B,3
1.27,6.350000000000001,0.0,5.0,B2C,0
1.59,125.93,0.1,88.0,B2B,1
1.08,19.49,0.05,19.0,B2B,3
0.95,20.52,0.1,24.0,B2B,3
1.19,24.87,0.05,22.0,B2B,3
1.01,15.149999999999999,0.0,15.0,B2C,0
1.14,4.329999999999998,0.05,4.0,B2B,3
0.56,2.799999999999997,0.0,5.0,B2C,0
3.02,36.24,0.0,12.0,B2C,2
0.5699999999999998,17.33,0.05,32.0,B2B,3
2.12,25.44,0.0,12.0,B2C,0
2.25,89.1,0.1,44.0,B2B,1
0.55,6.049999999999997,0.0,11.0,B2C,0
0.99,4.950000000000003,0.0,5.0,B2C,0
3.21,35.31,0.0,11.0,B2C,2
0.5899999999999999,7.670000000000002,0.0,13.0,B2C,0
0.88,33.26,0.1,42.0,B2B,3
1.03,32.29,0.05,33.0,B2B,3
3.02,30.2,0.0,10.0,B2C,2
1.17,32.23,0.05,29.0,B2B,3
0.5800000000000001,1.740000000000002,0.0,3.0,B2C,0
0.6299999999999999,3.1499999999999986,0.0,5.0,B2C,0
2.45,11.02,0.1,5.0,B2B,3
1.01,7.07,0.0,7.0,B2C,0
1.69,25.35,0.0,15.0,B2C,0
3.31,29.79,0.0,9.0,B2C,2
1.36,101.73000000000002,0.15,88.0,B2B,1
1.59,12.719999999999999,0.0,8.0,B2C,0
3.31,97.47999999999999,0.05,31.0,B2B,2
3.23,12.920000000000002,0.0,4.0,B2C,2
1.1,8.8,0.0,8.0,B2C,0
1.59,93.25,0.15,69.0,B2B,1
4.48,44.8,0.0,10.0,B2C,2
1.16,6.960000000000001,0.0,6.0,B2C,0
3.43,10.29,0.0,3.0,B2C,2
1.08,8.64,0.0,8.0,B2C,0
2.38,23.8,0.0,10.0,B2C,0
2.05,12.3,0.0,6.0,B2C,0
2.22,11.100000000000001,0.0,5.0,B2C,0
2.27,6.809999999999999,0.0,3.0,B2C,0
0.96,1.9200000000000017,0.0,2.0,B2C,0
0.99,4.950000000000003,0.0,5.0,B2C,0
1.16,11.600000000000001,0.0,10.0,B2C,0
1.14,1.1400000000000006,0.0,1.0,B2C,0
0.6600000000000001,5.019999999999996,0.05,8.0,B2B,3
0.49,3.9200000000000017,0.0,8.0,B2C,0
2.1,97.75999999999999,0.05,49.0,B2B,1
3.12,37.44,0.0,12.0,B2C,2
1.69,15.21,0.0,9.0,B2C,0
1.48,69.26,0.1,52.0,B2B,1
1.59,9.54,0.0,6.0,B2C,0
3.64,170.35,0.1,52.0,B2B,1
0.87,41.5,0.1,53.0,B2B,3
0.74,6.329999999999998,0.05,9.0,B2B,3
1.86,1.8599999999999994,0.0,1.0,B2C,0
4.22,21.1,0.0,5.0,B2C,2
2.85,83.93,0.05,31.0,B2B,2
0.69,43.26,0.05,66.0,B2B,3
0.93,11.16,0.0,12.0,B2C,0
1.63,6.519999999999996,0.0,4.0,B2C,0
1.42,14.2,0.0,10.0,B2C,0
3.27,82.4,0.1,28.0,B2B,1
0.45999999999999996,0.46000000000000085,0.0,1.0,B2C,0
1.7,37.15,0.05,23.0,B2B,3
1.05,1.0499999999999972,0.0,1.0,B2C,0
3.29,6.25,0.05,2.0,B2B,2
1.26,51.03,0.1,45.0,B2B,3
0.45999999999999996,3.6799999999999997,0.0,8.0,B2C,0
0.6600000000000001,10.66,0.05,17.0,B2B,3
1.93,20.17,0.05,11.0,B2B,3
3.11,6.219999999999999,0.0,2.0,B2C,2
0.49,5.880000000000003,0.0,12.0,B2C,0
5.03,10.060000000000002,0.0,2.0,B2C,2
4.22,12.66,0.0,3.0,B2C,2
0.5899999999999999,5.600000000000001,0.05,10.0,B2B,3
1.55,23.25,0.0,15.0,B2C,0
3.12,46.8,0.0,15.0,B2C,2
4.06,165.65,0.15,48.0,B2B,1
2.63,142.41,0.05,57.0,B2B,1
1.9,111.43,0.15,69.0,B2B,1
3.11,3.1099999999999994,0.0,1.0,B2C,2
2.93,5.859999999999999,0.0,2.0,B2C,2
0.98,29.11,0.1,33.0,B2B,3
0.5899999999999999,2.950000000000003,0.0,5.0,B2C,0
1.69,122.02,0.05,76.0,B2B,1
1.13,95.6,0.1,94.0,B2B,1
3.07,83.5,0.15,32.0,B2B,1
2.21,26.52,0.0,12.0,B2C,0
3.33,46.62,0.0,14.0,B2C,2
2.45,19.6,0.0,8.0,B2C,0
3.11,31.1,0.0,10.0,B2C,2
1.37,114.67,0.1,93.0,B2B,1
1.86,5.579999999999998,0.0,3.0,B2C,0
0.96,8.64,0.0,9.0,B2C,0
1.24,29.45,0.05,25.0,B2B,3
3.21,48.15,0.0,15.0,B2C,2
1.8,12.600000000000001,0.0,7.0,B2C,0
0.56,6.719999999999999,0.0,12.0,B2C,0
0.6099999999999999,7.32,0.0,12.0,B2C,0
2.45,149.94,0.15,72.0,B2B,1
2.14,75.22,0.05,37.0,B2B,3
0.5899999999999999,8.850000000000001,0.0,15.0,B2C,0
1.31,1.3100000000000023,0.0,1.0,B2C,0
1.42,9.939999999999998,0.0,7.0,B2C,0
1.61,14.490000000000002,0.0,9.0,B2C,0
2.03,69.43,0.05,36.0,B2B,3
1.99,9.95,0.0,5.0,B2C,0
0.55,7.699999999999999,0.0,14.0,B2C,0
1.21,12.100000000000001,0.0,10.0,B2C,0
2.95,75.67,0.05,27.0,B2B,2
0.76,29.41,0.1,43.0,B2B,3
2.4,2.1599999999999966,0.1,1.0,B2B,3
1.16,76.04,0.05,69.0,B2B,1
0.86,9.46,0.0,11.0,B2C,0
0.5699999999999998,4.560000000000002,0.0,8.0,B2C,0
2.93,20.51,0.0,7.0,B2C,2
0.94,71.06,0.1,84.0,B2B,1
1.37,19.18,0.0,14.0,B2C,0
1.92,7.68,0.0,4.0,B2C,0
1.09,10.899999999999999,0.0,10.0,B2C,0
1.49,8.939999999999998,0.0,6.0,B2C,0
0.72,33.05,0.1,51.0,B2B,3
0.6299999999999999,32.32,0.1,57.0,B2B,3
0.5899999999999999,5.899999999999999,0.0,10.0,B2C,0
2.45,14.7,0.0,6.0,B2C,0
0.89,10.68,0.0,12.0,B2C,0
1.74,133.11,0.1,85.0,B2B,1
1.38,17.94,0.0,13.0,B2C,0
2.39,17.21,0.1,8.0,B2B,3
0.6099999999999999,1.8299999999999983,0.0,3.0,B2C,0
0.5800000000000001,5.219999999999999,0.0,9.0,B2C,0
0.6000000000000001,23.94,0.05,42.0,B2B,3
1.86,20.46,0.0,11.0,B2C,0
1.99,21.89,0.0,11.0,B2C,0
2.18,89.05000000000001,0.05,43.0,B2B,1
2.27,2.270000000000003,0.0,1.0,B2C,0
1.61,1.6099999999999994,0.0,1.0,B2C,0
0.49,0.490000000000002,0.0,1.0,B2C,0
1.19,4.759999999999998,0.0,4.0,B2C,0
1.74,136.24,0.1,87.0,B2B,1
2.14,80.89,0.1,42.0,B2B,1
0.6600000000000001,20.06,0.05,32.0,B2B,3
2.39,94.64000000000001,0.1,44.0,B2B,1
1.01,23.03,0.05,24.0,B2B,3
1.39,47.54,0.05,36.0,B2B,3
1.94,3.8800000000000026,0.0,2.0,B2C,0
0.99,6.93,0.0,7.0,B2C,0
2.25,166.39,0.15,87.0,B2B,1
0.78,14.82,0.05,20.0,B2B,3
1.41,119.85,0.15,100.0,B2B,1
0.93,11.16,0.0,12.0,B2C,0
1.24,90.71,0.05,77.0,B2B,1
1.3,49.14,0.1,42.0,B2B,3
3.31,43.03,0.0,13.0,B2C,2
3.23,16.15,0.0,5.0,B2C,2
1.51,100.57,0.1,74.0,B2B,1
1.04,64.22,0.05,65.0,B2B,1
2.45,9.8,0.0,4.0,B2C,0
2.31,23.1,0.0,10.0,B2C,0
0.55,4.950000000000003,0.0,9.0,B2C,0
1.75,7.0,0.0,4.0,B2C,0
1.73,28.03,0.1,18.0,B2B,3
2.19,30.66,0.0,14.0,B2C,0
0.6600000000000001,50.16,0.05,80.0,B2B,1
1.66,8.3,0.0,5.0,B2C,0
1.42,21.3,0.0,15.0,B2C,0
1.42,15.619999999999997,0.0,11.0,B2C,0
0.55,1.1000000000000014,0.0,2.0,B2C,0
2.31,27.72,0.0,12.0,B2C,0
2.39,139.82,0.1,65.0,B2B,1
2.04,8.16,0.0,4.0,B2C,0
1.16,2.3200000000000003,0.0,2.0,B2C,0
0.86,6.019999999999996,0.0,7.0,B2C,0
2.19,32.85,0.0,15.0,B2C,0
0.95,71.87,0.15,89.0,B2B,1
0.5699999999999998,2.8500000000000014,0.0,5.0,B2C,0
2.38,21.42,0.0,9.0,B2C,0
2.13,25.56,0.0,12.0,B2C,0
0.56,5.039999999999999,0.0,9.0,B2C,0
1.23,18.45,0.0,15.0,B2C,0
0.86,1.7199999999999989,0.0,2.0,B2C,0
0.53,7.550000000000001,0.05,15.0,B2B,3
0.93,3.719999999999999,0.0,4.0,B2C,0
1.27,24.13,0.05,20.0,B2B,3
1.08,70.96,0.1,73.0,B2B,1
0.56,7.280000000000001,0.0,13.0,B2C,0
1.61,68.1,0.1,47.0,B2B,1
1.1,15.399999999999999,0.0,14.0,B2C,0
3.12,9.36,0.0,3.0,B2C,2
1.46,8.759999999999998,0.0,6.0,B2C,0
1.67,55.61,0.1,37.0,B2B,3
0.55,2.75,0.0,5.0,B2C,0
1.99,21.89,0.0,11.0,B2C,0
1.2,73.44,0.1,68.0,B2B,1
1.99,60.5,0.05,32.0,B2B,3
1.2,13.2,0.0,11.0,B2C,0
1.92,19.2,0.0,10.0,B2C,0
1.86,20.46,0.0,11.0,B2C,0
2.27,20.43,0.0,9.0,B2C,0
0.91,2.729999999999997,0.0,3.0,B2C,0
0.91,3.6400000000000006,0.0,4.0,B2C,0
2.05,24.6,0.0,12.0,B2C,0
2.99,75.35,0.1,28.0,B2B,1
1.8,16.2,0.0,9.0,B2C,0
1.05,5.25,0.0,5.0,B2C,0
2.45,29.4,0.0,12.0,B2C,0
1.38,13.8,0.0,10.0,B2C,0
2.38,7.140000000000001,0.0,3.0,B2C,0
0.99,3.960000000000001,0.0,4.0,B2C,0
1.31,15.719999999999999,0.0,12.0,B2C,0
1.36,89.35,0.1,73.0,B2B,1
0.91,0.9099999999999966,0.0,1.0,B2C,0
0.93,16.79,0.05,19.0,B2B,3
2.34,25.74,0.0,11.0,B2C,0
3.46,44.98,0.0,13.0,B2C,2
2.32,123.19,0.1,59.0,B2B,1
2.22,154.72999999999996,0.15,82.0,B2B,1
1.86,13.02,0.0,7.0,B2C,0
3.11,3.1099999999999994,0.0,1.0,B2C,2
1.64,21.32,0.0,13.0,B2C,0
2.12,8.48,0.0,4.0,B2C,0
1.74,22.62,0.0,13.0,B2C,0
2.6,79.04,0.05,32.0,B2B,3
2.45,29.4,0.0,12.0,B2C,0
2.35,32.9,0.0,14.0,B2C,0
1.69,124.72,0.1,82.0,B2B,1
3.31,49.65,0.0,15.0,B2C,2
0.86,5.159999999999997,0.0,6.0,B2C,0
1.14,10.259999999999998,0.0,9.0,B2C,0
0.7,15.29,0.05,23.0,B2B,3
0.81,60.51,0.1,83.0,B2B,1
2.68,53.47,0.05,21.0,B2B,2
1.38,6.899999999999999,0.0,5.0,B2C,0
1.69,8.45,0.0,5.0,B2C,0
1.19,7.140000000000001,0.0,6.0,B2C,0
2.2,39.71,0.05,19.0,B2B,3
2.18,88.29,0.1,45.0,B2B,1
3.11,40.43,0.0,13.0,B2C,2
1.86,3.719999999999999,0.0,2.0,B2C,0
0.68,52.02,0.1,85.0,B2B,1
0.89,4.450000000000003,0.0,5.0,B2C,0
1.04,2.0799999999999983,0.0,2.0,B2C,0
2.78,68.67,0.05,26.0,B2B,2
2.31,4.619999999999997,0.0,2.0,B2C,0
1.47,132.3,0.1,100.0,B2B,1
2.93,32.23,0.0,11.0,B2C,2
1.71,17.1,0.0,10.0,B2C,0
3.89,25.87,0.05,7.0,B2B,2
2.38,16.66,0.0,7.0,B2C,0
1.46,86.87,0.15,70.0,B2B,1
3.67,36.7,0.0,10.0,B2C,2
1.7,130.05,0.1,85.0,B2B,1
1.64,14.02,0.05,9.0,B2B,3
0.49,5.880000000000003,0.0,12.0,B2C,0
0.45999999999999996,5.519999999999996,0.0,12.0,B2C,0
1.05,3.1499999999999986,0.0,3.0,B2C,0
2.35,11.75,0.0,5.0,B2C,0
1.23,15.990000000000002,0.0,13.0,B2C,0
1.24,8.68,0.0,7.0,B2C,0
0.41999999999999993,9.18,0.05,23.0,B2B,3
1.78,6.759999999999998,0.05,4.0,B2B,3
1.63,69.68,0.05,45.0,B2B,3
0.44999999999999996,10.530000000000001,0.1,26.0,B2B,3
2.34,23.4,0.0,10.0,B2C,0
0.47,4.230000000000004,0.0,9.0,B2C,0
1.49,86.35,0.05,61.0,B2B,1
0.5800000000000001,6.380000000000003,0.0,11.0,B2C,0
3.31,26.48,0.0,8.0,B2C,2
1.31,83.38,0.05,67.0,B2B,1
1.46,14.600000000000001,0.0,10.0,B2C,0
0.6099999999999999,7.93,0.0,13.0,B2C,0
3.46,10.380000000000003,0.0,3.0,B2C,2
0.86,6.019999999999996,0.0,7.0,B2C,0
1.1,99.0,0.1,100.0,B2B,1
1.26,18.9,0.0,15.0,B2C,0
3.12,43.68,0.0,14.0,B2C,2
0.56,1.6799999999999997,0.0,3.0,B2C,0
3.43,6.859999999999999,0.0,2.0,B2C,2
1.24,1.240000000000002,0.0,1.0,B2C,0
2.04,18.36,0.0,9.0,B2C,0
1.43,23.09,0.05,17.0,B2B,3
1.51,68.86,0.05,48.0,B2B,3
